,product,price
0,Textured Cake Scraper Set,$40.00
1,Acrylic Cake Disk,$40.00
2,Bistro Apron,$40.00
3,Cake Scraper Set,$40.00
4,Icing Spatulas,$35.00
5,Cake Lifter,$35.00
6,"16"" Piping Bag",$13.00
7,MY GOOD SIDE Sweatshirt,$60.00
8,Online Cake Class,$117.00
9,Cake Baking Bible,$37.00
10,Top 12 Cake Recipe Printables,$18.00
11,Gift Card,$25.00
