,type,area,bed,bath,toilet,price
654,semi detached duplex,Oniru,4 ,4 ,5 ,8000000
655,flat / apartment,Lagos Mainland,1 ,1 ,1 ,450000
656,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
657,flat / apartment,Lekki,3 ,3 ,4 ,4000000
658,flat / apartment,Oniru,3 ,3 ,3 ,4000000
659,flat / apartment,Oniru,2 ,2 ,3 ,3000000
660,detached duplex,Ojo,5 ,5 ,6 ,6000000
661,semi detached duplex,Gbagada,3 ,3 ,4 ,2500000
662,terraced duplex,Ikoyi,3 ,3 ,3 ,16000000
663,flat / apartment,Ikoyi,3 ,3 ,3 ,13000000
664,flat / apartment,Oniru,3 ,3 ,4 ,4000000
665,terraced duplex,Oniru,4 ,4 ,5 ,4300000
666,flat / apartment,Lekki,3 ,3 ,4 ,2500000
667,flat / apartment,Ikoyi,3 ,3 ,3 ,13000000
668,flat / apartment,Oniru,3 ,3 ,3 ,4000000
669,terraced duplex,Lekki,4 ,4 ,4 ,4000000
670,terraced duplex,Ogudu,4 ,4 ,5 ,3200000
671,terraced duplex,Oniru,4 ,4 ,5 ,7500000
672,flat / apartment,Ikeja,3 ,3 ,4 ,2500000
673,flat / apartment,Anthony Village,1 ,1 ,2 ,800000
674,flat / apartment,Gbagada,3 ,3 ,4 ,1200000
675,flat / apartment,Akoka,1 ,1 ,2 ,700000
676,flat / apartment,Ikoyi,3 ,3 ,3 ,12000000
677,flat / apartment,Lagos Mainland,1 ,1 ,1 ,400000
678,flat / apartment,Oniru,3 ,3 ,4 ,4500000
679,flat / apartment,Ikoyi,3 ,3 ,3 ,9500000
680,flat / apartment,Lagos Mainland,1 ,1 ,1 ,600000
681,flat / apartment,Victoria Island,4 ,4 ,4 ,17000000
682,flat / apartment,Ikeja,3 ,3 ,4 ,3500000
683,flat / apartment,Victoria Island,5 ,5 ,5 ,25000000
684,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
685,flat / apartment,Ikoyi,3 ,3 ,4 ,8500000
686,flat / apartment,Oniru,3 ,3 ,3 ,6000000
687,flat / apartment,Kosofe,2 ,2 ,2 ,800000
688,flat / apartment,Lekki,3 ,3 ,4 ,4500000
689,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
690,terraced duplex,Ikeja,5 ,5 ,6 ,13000000
691,flat / apartment,Akoka,3 ,3 ,4 ,1100000
692,detached duplex,Lekki,4 ,4 ,5 ,6500000
693,detached bungalow,Lekki,4 ,4 ,4 ,4500000
694,flat / apartment,Ikoyi,1 ,1 ,1 ,7000000
695,flat / apartment,Ikoyi,4 ,4 ,5 ,8500000
696,flat / apartment,Ikoyi,4 ,4 ,5 ,12000000
697,flat / apartment,Gbagada,1 ,1 ,2 ,700000
698,flat / apartment,Oniru,3 ,3 ,4 ,4000000
699,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
700,flat / apartment,Oniru,3 ,3 ,4 ,4500000
701,flat / apartment,Lagos Mainland,3 ,3 ,3 ,400000
702,flat / apartment,Victoria Island,3 ,3 ,4 ,12000000
703,flat / apartment,Oniru,3 ,3 ,3 ,4000000
704,terraced duplex,Kosofe,5 ,5 ,6 ,5000000
705,detached duplex,Ikeja,5 ,5 ,6 ,12000000
706,flat / apartment,Lekki,4 ,3 ,4 ,4700000
707,flat / apartment,Ikeja,2 ,2 ,3 ,1200000
708,flat / apartment,Ojo,3 ,3 ,3 ,1500000
709,flat / apartment,Lekki,2 ,2 ,3 ,2500000
710,terraced duplex,Ikoyi,5 ,5 ,6 ,6000000
711,semi detached duplex,Ikoyi,4 ,4 ,5 ,12000000
712,flat / apartment,Ikoyi,4 ,4 ,5 ,35000000
713,flat / apartment,Lekki,3 ,3 ,3 ,3500000
714,flat / apartment,Ikoyi,4 ,4 ,5 ,15000000
715,flat / apartment,Ojo,3 ,3 ,4 ,2200000
716,semi detached duplex,Oniru,4 ,4 ,5 ,5000000
717,detached duplex,Ikoyi,4 ,4 ,4 ,7000000
718,flat / apartment,Victoria Island,3 ,3 ,4 ,24000000
719,semi detached duplex,Lekki,4 ,4 ,4 ,3500000
720,flat / apartment,Lagos Mainland,2 ,2 ,3 ,350000
721,flat / apartment,Ikoyi,3 ,3 ,3 ,7500000
722,detached duplex,Ikoyi,4 ,4 ,5 ,25000000
723,flat / apartment,Victoria Island,4 ,4 ,4 ,18000000
724,flat / apartment,Victoria Island,3 ,3 ,4 ,5000000
725,flat / apartment,Ikoyi,3 ,3 ,3 ,70000000
726,semi detached duplex,Gbagada,5 ,4 ,4 ,3000000
727,detached duplex,Ikoyi,4 ,4 ,4 ,20000000
728,flat / apartment,Ojo,3 ,3 ,4 ,2200000
729,flat / apartment,Oniru,3 ,3 ,4 ,3700000
730,flat / apartment,Ikoyi,2 ,2 ,2 ,6500000
