,type,area,bed,bath,toilet,price
267,flat / apartment,Ajah,2 ,2 ,3 ,850000
268,flat / apartment,Lekki,1 ,1 ,1 ,350000
269,flat / apartment,Lekki,3 ,3 ,4 ,5000000
270,flat / apartment,Yaba,3 ,3 ,4 ,1500000
271,flat / apartment,Lekki,1 ,1 ,1 ,500000
272,flat / apartment,Yaba,3 ,3 ,4 ,1500000
273,flat / apartment,Akoka,3 ,3 ,3 ,1200000
274,flat / apartment,Yaba,3 ,3 ,4 ,1500000
275,flat / apartment,Ikoyi,4 ,4 ,5 ,17000000
276,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
277,flat / apartment,Ikoyi,2 ,3 ,4 ,7000000
278,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
279,terraced duplex,Lekki,4 ,4 ,5 ,3000000
280,flat / apartment,Victoria Island,3 ,3 ,4 ,25000
281,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
282,terraced duplex,Ikoyi,4 ,4 ,5 ,5000000
283,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
284,flat / apartment,Ikoyi,2 ,2 ,3 ,10000000
285,terraced duplex,Lekki,4 ,4 ,5 ,5000000
286,flat / apartment,Ikoyi,3 ,3 ,4 ,220000000
287,flat / apartment,Surulere,3 ,3 ,4 ,2500000
288,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
289,flat / apartment,Victoria Island,3 ,3 ,4 ,8000000
290,terraced duplex,Lekki,3 ,3 ,4 ,2500000
291,flat / apartment,Victoria Island,3 ,3 ,4 ,65000
292,flat / apartment,Ikoyi,1 ,1 ,2 ,7500000
293,semi detached duplex,Lekki,4 ,4 ,5 ,65000000
294,flat / apartment,Ikoyi,3 ,3 ,4 ,4000000
295,semi detached duplex,Ikoyi,4 ,4 ,5 ,13000000
296,terraced duplex,Lekki,4 ,4 ,5 ,4000000
297,semi detached duplex,Ikoyi,5 ,5 ,6 ,9000000
298,flat / apartment,Ikoyi,4 ,5 ,5 ,16000000
299,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
300,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
301,flat / apartment,Ikoyi,4 ,4 ,5 ,21000000
302,flat / apartment,Victoria Island,2 ,2 ,3 ,18500000
303,flat / apartment,Lekki,4 ,4 ,5 ,2600000
304,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
305,flat / apartment,Oniru,3 ,3 ,4 ,3500000
306,semi detached duplex,Ikoyi,5 ,5 ,6 ,5000000
307,terraced duplex,Lekki,4 ,4 ,5 ,5000000
308,flat / apartment,Lekki,3 ,3 ,4 ,3500000
309,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
310,terraced duplex,Ikoyi,5 ,5 ,6 ,13000000
311,terraced duplex,Ikoyi,4 ,4 ,5 ,8500000
312,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
313,terraced duplex,Lekki,4 ,4 ,5 ,65000000
314,flat / apartment,Lekki,2 ,2 ,3 ,2200000
315,terraced duplex,Lekki,4 ,4 ,5 ,3000000
316,flat / apartment,Aguda,3 ,3 ,4 ,1000000
317,terraced duplex,Lekki,4 ,4 ,5 ,3500000
318,detached duplex,Victoria Island,5 ,6 ,7 ,9000000
319,flat / apartment,Oniru,3 ,3 ,4 ,3500000
320,semi detached duplex,Ikoyi,4 ,4 ,5 ,8500000
321,flat / apartment,Ikoyi,3 ,3 ,3 ,23000000
322,semi detached duplex,Ikoyi,3 ,3 ,4 ,10000000
323,flat / apartment,Ikoyi,4 ,4 ,5 ,20000000
324,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
325,detached duplex,Lekki,4 ,4 ,5 ,4200000
326,semi detached duplex,Surulere,4 ,4 ,4 ,3000000
327,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
328,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
329,semi detached duplex,Lekki,5 ,5 ,6 ,8000000
330,flat / apartment,Surulere,2 ,2 ,3 ,2200000
331,flat / apartment,Victoria Island,2 ,2 ,3 ,4000000
332,detached duplex,Ojo,7 ,7 ,8 ,6500000
333,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
334,terraced duplex,Lekki,4 ,4 ,4 ,6000000
335,flat / apartment,Ikoyi,3 ,3 ,4 ,4500000
336,flat / apartment,Ikoyi,3 ,3 ,4 ,8000000
337,flat / apartment,Ikoyi,3 ,3 ,5 ,4000000
338,flat / apartment,Lekki,4 ,4 ,5 ,4000000
339,detached duplex,Ikoyi,5 ,5 ,6 ,15000000
340,semi detached duplex,Ikoyi,4 ,4 ,5 ,12500000
341,terraced duplex,Ikoyi,3 ,3 ,4 ,14500000
342,terraced duplex,Lekki,4 ,4 ,5 ,3000000
343,flat / apartment,Ikoyi,2 ,3 ,3 ,7000000
344,terraced duplex,Ikoyi,4 ,4 ,5 ,7000000
345,flat / apartment,Victoria Island,1 ,1 ,2 ,12000000
346,semi detached duplex,Oniru,5 ,6 ,5 ,5500000
347,terraced duplex,Surulere,4 ,4 ,5 ,3000000
348,terraced duplex,Ikoyi,4 ,4 ,5 ,8500000
349,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
350,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
351,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
352,flat / apartment,Ikoyi,3 ,2 ,3 ,10000000
353,flat / apartment,Victoria Island,3 ,3 ,4 ,15000000
354,terraced duplex,Lekki,4 ,4 ,5 ,3200000
355,flat / apartment,Lekki,3 ,3 ,4 ,3500000
356,flat / apartment,Oniru,3 ,3 ,4 ,5000000
357,flat / apartment,Ikoyi,4 ,4 ,5 ,16000000
358,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
359,flat / apartment,Victoria Island,3 ,3 ,4 ,14000000
360,flat / apartment,Lekki,3 ,3 ,4 ,3000000
361,flat / apartment,Victoria Island,3 ,3 ,4 ,3500000
362,semi detached duplex,Ikoyi,4 ,4 ,4 ,10000000
363,flat / apartment,Ikoyi,2 ,2 ,3 ,7000000
364,terraced duplex,Ikoyi,4 ,4 ,5 ,7000000
365,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
366,detached duplex,Lekki,4 ,4 ,5 ,4500000
367,shop,Lekki,1 ,1 ,1 ,800000
368,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
369,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
370,flat / apartment,Lekki,2 ,2 ,3 ,3200000
371,flat / apartment,Ikoyi,3 ,3 ,4 ,8000000
372,flat / apartment,Ikoyi,3 ,3 ,3 ,8500000
373,terraced duplex,Lekki,3 ,3 ,4 ,2800000
374,flat / apartment,Ikoyi,4 ,5 ,6 ,12000000
375,semi detached duplex,Ikoyi,4 ,4 ,5 ,6500000
376,flat / apartment,Ikoyi,3 ,3 ,4 ,80000
377,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
378,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
379,flat / apartment,Ikoyi,3 ,3 ,4 ,14000000
380,flat / apartment,Ikoyi,3 ,3 ,4 ,4000000
381,flat / apartment,Ikoyi,4 ,4 ,5 ,20000000
382,semi detached duplex,Ikoyi,5 ,5 ,6 ,13000000
383,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
384,flat / apartment,Ikoyi,3 ,3 ,4 ,12000000
385,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
386,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
387,flat / apartment,Ojuelegba,2 ,2 ,3 ,1000000
388,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
389,flat / apartment,Ikoyi,1 ,1 ,2 ,5000000
390,semi detached duplex,Lekki,4 ,4 ,5 ,6000000
391,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
392,flat / apartment,Ikoyi,3 ,3 ,4 ,7500000
393,flat / apartment,Ikoyi,4 ,4 ,5 ,8000000
394,flat / apartment,Ikoyi,3 ,3 ,4 ,12000000
395,flat / apartment,Surulere,3 ,2 ,2 ,1500000
396,terraced duplex,Ikoyi,4 ,4 ,5 ,20000000
397,flat / apartment,Lekki,3 ,3 ,4 ,2200000
398,semi detached duplex,Ikoyi,5 ,5 ,6 ,8000000
399,flat / apartment,Ikoyi,3 ,3 ,4 ,100000
400,terraced duplex,Ikoyi,3 ,3 ,4 ,13500000
401,flat / apartment,Oniru,1 ,1 ,1 ,2250000
402,terraced duplex,Lekki,5 ,5 ,6 ,10000000
403,flat / apartment,Oniru,3 ,4 ,4 ,5000000
404,flat / apartment,Ikoyi,2 ,2 ,3 ,6000000
405,terraced duplex,Lekki,4 ,4 ,5 ,3500000
406,terraced duplex,Oniru,3 ,3 ,4 ,4500000
407,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
408,flat / apartment,Ikoyi,4 ,5 ,5 ,7500000
409,flat / apartment,Iyana Ipaja,2 ,2 ,3 ,350000
410,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
411,terraced duplex,Lekki,4 ,4 ,5 ,3000000
412,flat / apartment,Ikoyi,2 ,2 ,3 ,7500000
413,flat / apartment,Ikoyi,2 ,2 ,3 ,18000000
414,flat / apartment,Oniru,3 ,4 ,4 ,5000000
415,flat / apartment,Ikoyi,5 ,5 ,6 ,15000000
416,terraced duplex,Lekki,4 ,4 ,5 ,4000000
417,flat / apartment,Iwaya,3 ,4 ,5 ,1500000
418,flat / apartment,Ikoyi,4 ,4 ,5 ,25000000
419,flat / apartment,Ikoyi,3 ,3 ,4 ,7500000
420,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
421,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
422,flat / apartment,Ikoyi,1 ,1 ,2 ,7000000
423,flat / apartment,Victoria Island,3 ,3 ,4 ,18000000
424,flat / apartment,Ikoyi,4 ,4 ,5 ,14000000
425,flat / apartment,Lekki,3 ,3 ,4 ,3800000
426,flat / apartment,Victoria Island,3 ,3 ,4 ,17000000
427,terraced duplex,Ikoyi,5 ,5 ,6 ,8000000
428,terraced duplex,Ikoyi,3 ,3 ,4 ,10000000
429,flat / apartment,Oniru,3 ,3 ,4 ,4000000
430,flat / apartment,Gbagada,3 ,3 ,3 ,1400000
431,flat / apartment,Lekki,3 ,3 ,4 ,1800000
432,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
433,terraced duplex,Lekki,4 ,4 ,5 ,3000000
434,flat / apartment,Ikoyi,2 ,2 ,3 ,4500000
435,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
436,terraced duplex,Ikoyi,4 ,4 ,5 ,8500000
437,flat / apartment,Lekki,3 ,3 ,4 ,5000000
438,flat / apartment,Lekki,3 ,3 ,4 ,3500000
439,detached duplex,Ikoyi,5 ,5 ,6 ,15000000
440,flat / apartment,Ikoyi,2 ,2 ,3 ,3500000
441,terraced duplex,Ikoyi,3 ,3 ,4 ,16000000
442,terraced duplex,Lekki,5 ,5 ,6 ,6000000
443,flat / apartment,Lekki,2 ,2 ,3 ,2700000
444,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
445,flat / apartment,Lekki,3 ,3 ,4 ,2500000
446,flat / apartment,Ikoyi,3 ,2 ,3 ,7500000
447,terraced duplex,Lekki,5 ,5 ,6 ,7000000
448,terraced duplex,Lekki,5 ,5 ,6 ,5000000
449,flat / apartment,Ikoyi,3 ,3 ,4 ,13000000
450,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
451,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
452,flat / apartment,Lekki,3 ,3 ,4 ,3000000
453,detached duplex,Lekki,5 ,5 ,6 ,5500000
454,flat / apartment,Abule,3 ,3 ,4 ,33000000
455,semi detached duplex,Lekki,5 ,5 ,6 ,10000000
456,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
457,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
458,terraced duplex,Lekki,4 ,4 ,5 ,3500000
459,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
460,flat / apartment,Victoria Island,1 ,1 ,2 ,28000
461,flat / apartment,Ikoyi,3 ,4 ,4 ,13500000
462,flat / apartment,Ikoyi,4 ,4 ,5 ,11000000
463,terraced duplex,Lekki,4 ,4 ,5 ,4500000
464,flat / apartment,Oniru,1 ,1 ,2 ,1800000
465,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
466,flat / apartment,Lekki,2 ,2 ,3 ,2000000
467,terraced duplex,Ikoyi,4 ,4 ,5 ,14500000
468,flat / apartment,Ikoyi,4 ,4 ,5 ,8000000
469,flat / apartment,Oniru,2 ,2 ,3 ,5000000
470,flat / apartment,Victoria Island,4 ,4 ,5 ,10000000
471,flat / apartment,Ikoyi,3 ,3 ,4 ,20000000
472,flat / apartment,Lekki,3 ,3 ,4 ,2500000
473,flat / apartment,Ikoyi,3 ,3 ,4 ,12000000
474,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
475,flat / apartment,Ikoyi,3 ,3 ,4 ,11000000
476,detached duplex,Lekki,5 ,5 ,6 ,85000000
477,terraced duplex,Lekki,4 ,4 ,5 ,5000000
478,flat / apartment,Victoria Island,3 ,3 ,4 ,15000000
479,terraced duplex,Lekki,4 ,4 ,5 ,8000000
480,flat / apartment,Lekki,3 ,3 ,4 ,2600000
481,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
482,flat / apartment,Oniru,3 ,3 ,4 ,3800000
483,flat / apartment,Lekki,3 ,3 ,4 ,3500000
484,flat / apartment,Ikoyi,2 ,3 ,3 ,12000000
485,semi detached duplex,Ladipo,4 ,3 ,4 ,2200000
486,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
487,detached duplex,Lekki,5 ,5 ,6 ,4500000
488,detached duplex,Ajah,4 ,4 ,5 ,3600000
489,flat / apartment,Victoria Island,3 ,3 ,4 ,13000000
490,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
491,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
492,terraced duplex,Ikoyi,4 ,4 ,5 ,13000000
493,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
494,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
495,flat / apartment,Lekki,2 ,2 ,3 ,2000000
496,flat / apartment,Lekki,3 ,3 ,4 ,2300000
497,terraced duplex,Lekki,4 ,4 ,5 ,3000000
498,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
499,flat / apartment,Surulere,3 ,3 ,4 ,1100000
500,semi detached duplex,Ikoyi,5 ,5 ,6 ,15000000
501,flat / apartment,Lekki,3 ,3 ,4 ,4500000
502,terraced duplex,Oniru,4 ,4 ,5 ,5000000
503,flat / apartment,Ikoyi,3 ,4 ,4 ,12000000
504,flat / apartment,Lekki,3 ,3 ,4 ,2000000
505,flat / apartment,Ikoyi,2 ,2 ,3 ,10000000
506,semi detached duplex,Lekki,4 ,4 ,4 ,3500000
507,flat / apartment,Lekki,3 ,3 ,4 ,6500000
508,flat / apartment,Ikoyi,2 ,2 ,3 ,10000000
509,semi detached duplex,Lekki,6 ,6 ,7 ,6500000
510,semi detached duplex,Lekki,5 ,5 ,6 ,7000000
511,flat / apartment,Oniru,3 ,3 ,4 ,3500000
512,flat / apartment,Ikoyi,3 ,3 ,4 ,6500000
513,flat / apartment,Ikoyi,3 ,3 ,4 ,11000000
514,flat / apartment,Ikoyi,2 ,2 ,3 ,6500000
515,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
516,terraced duplex,Ikoyi,3 ,3 ,4 ,15000000
517,semi detached duplex,Lekki,3 ,3 ,4 ,4500000
518,flat / apartment,Victoria Island,3 ,3 ,4 ,15000000
519,flat / apartment,Anthony Village,3 ,3 ,4 ,1800000
520,flat / apartment,Oniru,3 ,3 ,4 ,3000000
521,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
522,flat / apartment,Ikoyi,2 ,2 ,3 ,7000000
523,semi detached duplex,Ikoyi,4 ,4 ,5 ,15000000
524,flat / apartment,Ikoyi,3 ,3 ,4 ,7500000
525,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
526,flat / apartment,Ojuelegba,2 ,2 ,2 ,1300000
527,terraced duplex,Lekki,4 ,4 ,5 ,5000000
528,flat / apartment,Maryland,3 ,3 ,4 ,3000000
529,flat / apartment,Ikoyi,3 ,4 ,4 ,7000000
530,terraced duplex,Ikoyi,4 ,4 ,5 ,18000000
531,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
532,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
533,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
534,flat / apartment,Ikoyi,4 ,4 ,5 ,15000000
535,semi detached duplex,Ikoyi,4 ,4 ,5 ,6000000
536,terraced duplex,Lekki,4 ,4 ,5 ,5000000
537,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
538,flat / apartment,Ikoyi,3 ,3 ,4 ,50000
539,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
540,flat / apartment,Ikoyi,3 ,3 ,4 ,11000000
541,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
542,flat / apartment,Ikoyi,2 ,2 ,3 ,6000000
543,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
544,flat / apartment,Lekki,4 ,4 ,5 ,120000000
545,flat / apartment,Victoria Island,3 ,3 ,4 ,10000000
546,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
547,semi detached duplex,Lekki,4 ,4 ,5 ,3800000
548,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
549,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
550,flat / apartment,Lekki,3 ,3 ,4 ,800000
551,terraced duplex,Ikoyi,4 ,4 ,5 ,9000000
552,terraced duplex,Lekki,4 ,4 ,5 ,6000000
